Probe	ProbeChromosome	ProbecM	Probebp
Contig3441_at	unknown	unknown	unknown
Contig3443_at	2	79.8866855524	524237280
Contig3445_at	5	168.888888889	554710280
Contig3448_s_at	3	59.6317280453	420906840
Contig3457_x_at	unknown	unknown	unknown
Contig3463_at	unknown	unknown	unknown
Contig3465_at	4	52.9567988669	359671920
Contig3468_s_at	6	104.815864023	522565760
Contig3470_at	unknown	unknown	unknown
Contig3471_at	1	72.3796033994	391332840
Contig3472_at	unknown	unknown	unknown
Contig3474_s_at	unknown	unknown	unknown
Contig3476_at	2	56.3739376771	321081880
Contig3477_at	unknown	unknown	unknown
Contig3478_at	2	36.7917847025	39578320
Contig3479_at	1	50.4249291785	278797880
Contig3480_at	6	31.1791784702	21946760
Contig3482_s_at	unknown	unknown	unknown
Contig3485_at	3	46.0339943343	47464720
Contig3496_at	unknown	unknown	unknown
Contig3497_at	1	111.3235757	441294920
Contig3498_at	2	40.0849858357	43545080
Contig3499_at	unknown	unknown	unknown
Contig3501_at	4	113.739376771	540653640
Contig3502_at	5	152.361111111	537176680
Contig3506_s_at	unknown	unknown	unknown
Contig3508_at	5	77.0833333333	440362440
Contig3513_at	unknown	unknown	unknown
Contig3517_at	unknown	unknown	unknown
Contig3519_at	6	108.569405099	524059960
Contig3520_at	7	67.776203966	155285200
Contig3521_at	6	52.9036827195	120513120
Contig3523_at	3	36.8692287584	25503080
Contig3526_at	1	46.6005665722	64760240
Contig3527_at	6	53.7535410765	195629840
Contig3528_at	unknown	unknown	unknown
Contig3529_at	1	101.062322946	434515840
Contig3530_at	unknown	unknown	unknown
Contig3532_at	1	82.2539390818	403076880
Contig3533_at	unknown	unknown	unknown
Contig3535_at	7	91.1738668555	535527480
Contig3536_s_at	unknown	unknown	unknown
Contig3541_s_at	7	74.2917847025	441907480
Contig3542_at	6	59.9150141643	369595640
Contig3545_at	unknown	unknown	unknown
Contig3547_s_at	7	132.223796034	591205960
Contig3551_at	4	48.6543909348	54636880
Contig3552_s_at	7	132.648725213	591205960
Contig3554_at	unknown	unknown	unknown
Contig3556_at	unknown	unknown	unknown
Contig3557_at	unknown	unknown	unknown
Contig3561_at	3	51.6288951841	286996760
Contig3562_at	5	47.6483196159	347092120
Contig3564_s_at	5	60.9953703703	407393320
Contig3569_at	unknown	unknown	unknown
Contig3570_at	1	58.3569405099	333793120
Contig3573_s_at	1	58.3569405099	334333760
Contig3576_at	unknown	unknown	unknown
Contig3579_x_at	unknown	unknown	unknown
Contig3584_at	unknown	unknown	unknown
Contig358_at	1	48.0878186969	156320600
Contig3592_at	4	68.9801699717	483984400
Contig3593_at	unknown	unknown	unknown
Contig3594_at	5	71.6666666667	428190600
Contig3596_at	4	34.3484419263	25575000
Contig3600_s_at	1	48.4419263457	238590880
Contig3602_at	1	48.1753719933	169362920
Contig3603_at	unknown	unknown	unknown
Contig3605_at	unknown	unknown	unknown
Contig3608_at	unknown	unknown	unknown
Contig3614_at	7	67.776203966	158897320
Contig3616_at	5	47.7083333333	349069920
Contig3618_s_at	4	54.3201133144	389512520
Contig361_s_at	7	54.3909348442	75684640
Contig3621_at	1	59.4192634561	346329520
Contig3624_at	4	52.3371104816	347875800
Contig3625_at	2	74.3626062323	514161040
Contig3626_s_at	unknown	unknown	unknown
Contig3631_s_at	unknown	unknown	unknown
Contig3635_s_at	unknown	unknown	unknown
Contig3638_at	unknown	unknown	unknown
Contig3639_at	unknown	unknown	unknown
Contig3640_at	1	44.0364334609	50549840
Contig3643_s_at	1	112.252124646	444257280
Contig3644_s_at	7	66.5486307838	125899680
Contig3646_at	unknown	unknown	unknown
Contig3650_s_at	3	117.634560906	518734160
Contig3651_s_at	7	24.1501416431	30682560
Contig3654_s_at	7	67.4220963173	139955080
Contig3655_at	2	55.7195467422	244629680
Contig3657_s_at	unknown	unknown	unknown
Contig3659_s_at	5	44.2361111111	184410320
Contig3663_at	unknown	unknown	unknown
Contig3664_at	unknown	unknown	unknown
Contig3667_s_at	unknown	unknown	unknown
Contig3668_at	unknown	unknown	unknown
Contig3670_at	5	161.412037037	546122040
Contig3674_at	1	74.0155807365	394961080
Contig3676_at	unknown	unknown	unknown
Contig3679_x_at	7	124.575070822	578735280
Contig3680_s_at	6	52.4787535411	102006120
Contig3690_s_at	unknown	unknown	unknown
Contig3691_at	2	52.7620396601	91410320
Contig3693_at	3	25.3009915014	20059480
Contig3694_at	6	55.0283286119	265658840
Contig36_s_at	6	55.6657223796	328725240
Contig3702_s_at	unknown	unknown	unknown
Contig3707_s_at	unknown	unknown	unknown
Contig370_at	1	111.827195467	441294920
Contig3711_at	unknown	unknown	unknown
Contig3713_s_at	2	52.9036827195	95692040
Contig3716_at	unknown	unknown	unknown
Contig3718_s_at	1	109.366147309	440705920
Contig3723_at	unknown	unknown	unknown
Contig3724_at	unknown	unknown	unknown
Contig3727_at	unknown	unknown	unknown
Contig3729_at	5	153.194444444	538028560
Contig3730_at	7	40.6515580737	50434520
Contig3736_s_at	1	4.9575070822	4054800
Contig3738_at	unknown	unknown	unknown
Contig3743_at	2	54.2492917847	141625360
Contig3744_s_at	unknown	unknown	unknown
Contig3745_at	unknown	unknown	unknown
Contig3747_s_at	7	2.0538243626	5010840
Contig3751_at	unknown	unknown	unknown
Contig3755_at	5	53.0694444445	394293960
Contig3759_s_at	unknown	unknown	unknown
Contig3760_at	6	79.6033994334	497194120
Contig3762_s_at	unknown	unknown	unknown
Contig3766_at	unknown	unknown	unknown
Contig3769_at	unknown	unknown	unknown
Contig3772_at	1	48.0878186969	160660600
Contig3779_x_at	unknown	unknown	unknown
Contig3785_at	unknown	unknown	unknown
Contig3789_s_at	1	18.4135977337	11437760
Contig3791_s_at	5	48.1944444444	357473400
Contig3792_at	unknown	unknown	unknown
Contig3794_at	unknown	unknown	unknown
Contig3796_at	5	47.5883058985	341053320
Contig3798_at	2	23.1586402266	25540280
Contig3799_at	4	52.1954674221	333449640
Contig3800_s_at	4	99.0793201133	519537680
Contig3802_at	unknown	unknown	unknown
Contig3806_s_at	unknown	unknown	unknown
Contig3808_s_at	unknown	unknown	unknown
Contig3811_at	unknown	unknown	unknown
Contig3814_at	3	96.4589235127	496420360
Contig3816_s_at	5	44.2361111111	177116640
Contig381_x_at	5	98.7152777778	474302480
Contig3821_s_at	unknown	unknown	unknown
Contig3827_s_at	unknown	unknown	unknown
Contig3829_at	2	40.0849858357	45779560
Contig3831_at	unknown	unknown	unknown
Contig3835_s_at	3	58.5694050992	409910520
Contig3836_at	3	90.6515580736	489532160
Contig3839_at	unknown	unknown	unknown
Contig3840_at	7	54.8158640227	81041440
Contig3841_at	unknown	unknown	unknown
Contig3842_s_at	unknown	unknown	unknown
Contig3844_at	5	44.2361111111	127397600
Contig3846_at	5	44.0972222222	86915320
Contig3847_at	unknown	unknown	unknown
Contig3848_at	4	43.342776204	42300120
Contig3850_at	unknown	unknown	unknown
Contig3853_s_at	3	51.7705382436	349593200
Contig3856_at	5	143.958333333	523374240
Contig3857_at	unknown	unknown	unknown
Contig3858_at	1	76.8413597734	398837320
Contig385_s_at	unknown	unknown	unknown
Contig3867_at	unknown	unknown	unknown
Contig3870_at	6	63.6685552408	434276520
Contig3875_s_at	7	70.9631728045	375928320
Contig3876_at	6	52.1954674221	93673320
Contig3877_s_at	unknown	unknown	unknown
Contig387_s_at	7	91.9263456091	536131360
Contig3880_s_at	3	62.6770538244	434379440
Contig3882_s_at	1	93.059490085	421950920
Contig3884_at	2	105.920679887	571768960
Contig3886_at	unknown	unknown	unknown
Contig3891_s_at	7	98.3002832861	545993080
Contig3892_at	unknown	unknown	unknown
Contig3894_at	7	73.5835694051	425954880
Contig3898_at	unknown	unknown	unknown
Contig3900_at	unknown	unknown	unknown
Contig3902_at	1	40.9076051428	38804560
Contig3903_x_at	1	40.9076051428	38804560
Contig3904_at	7	70.9631728045	398340080
Contig3905_at	7	67.9178470255	163270800
Contig3908_at	unknown	unknown	unknown
Contig3909_at	unknown	unknown	unknown
Contig3914_s_at	unknown	unknown	unknown
Contig3915_at	unknown	unknown	unknown
Contig3919_at	2	56.126062323	293493120
Contig391_at	1	109.366147309	440705920
Contig3920_at	4	51.4164305949	245978800
Contig3923_at	unknown	unknown	unknown
Contig3924_at	unknown	unknown	unknown
Contig3928_s_at	unknown	unknown	unknown
Contig392_s_at	2	56.5155807365	364157000
Contig3933_at	5	44.2361111111	142271400
Contig393_at	1	106.161473088	439756080
Contig3946_at	3	32.6783222697	20753880
Contig3947_s_at	unknown	unknown	unknown
Contig394_at	unknown	unknown	unknown
Contig3950_at	unknown	unknown	unknown
Contig3951_at	unknown	unknown	unknown
Contig3952_at	unknown	unknown	unknown
Contig3958_s_at	7	129.390934844	588298160
Contig395_s_at	unknown	unknown	unknown
Contig3960_at	unknown	unknown	unknown
Contig3963_at	unknown	unknown	unknown
Contig3965_at	3	123.229461756	528175520
Contig3967_s_at	5	98.6284722222	472417680
Contig396_at	unknown	unknown	unknown
Contig3971_at	5	47.1180555556	306102680
Contig3972_at	3	76.133144476	470396480
Contig3975_at	5	86.2152777778	456478720
Contig3976_at	unknown	unknown	unknown
Contig3977_at	1	65.9968130312	366090160
Contig3980_at	2	50.9206798867	77927800
Contig3981_at	4	54.3201133144	376072160
Contig3982_at	unknown	unknown	unknown
Contig398_s_at	unknown	unknown	unknown
Contig3992_at	4	60.1274787535	450126200
Contig3994_at	5	44.2361111111	196826440
Contig3995_s_at	unknown	unknown	unknown
Contig3996_at	unknown	unknown	unknown
Contig3998_at	6	113.243626062	525822000
Contig39_at	unknown	unknown	unknown
Contig3_at	unknown	unknown	unknown
Contig4002_s_at	7	0.912066457418	2844560
Contig4006_at	unknown	unknown	unknown
Contig4008_at	7	73.7252124645	425954880
Contig4009_at	5	47.1180555556	318811440
Contig4010_at	7	75.6147702235	462637800
Contig4011_at	7	77.2662889518	498699480
Contig4013_at	unknown	unknown	unknown
Contig4015_at	unknown	unknown	unknown
Contig4017_s_at	4	1.1331444759	3464560
Contig4018_at	unknown	unknown	unknown
Contig4019_at	3	51.6288951841	331227560
Contig401_at	5	89.3923611111	456946200
Contig4021_at	unknown	unknown	unknown
Contig4022_at	3	114.646172089	516169840
Contig4025_x_at	unknown	unknown	unknown
Contig4031_x_at	unknown	unknown	unknown
Contig4040_at	unknown	unknown	unknown
Contig4042_at	3	123.229461756	528175520
Contig4043_at	3	123.229461756	528175520
Contig4044_at	unknown	unknown	unknown
Contig4054_s_at	unknown	unknown	unknown
Contig4061_at	2	107.967422096	579843840
Contig4067_at	unknown	unknown	unknown
Contig4069_at	unknown	unknown	unknown
Contig406_at	unknown	unknown	unknown
Contig4070_s_at	unknown	unknown	unknown
Contig4072_at	3	51.6288951841	244738800
Contig4073_at	2	54.1253541076	121831240
Contig4075_at	3	46.1048158641	49278840
Contig4077_at	3	109.844192635	510982920
Contig4084_at	unknown	unknown	unknown
Contig4085_at	2	57.4362606232	409896880
Contig4086_at	7	41.4305949008	52422240
Contig4088_s_at	2	56.3739376771	297476000
Contig4095_s_at	7	74.2917847025	440063600
Contig4096_at	unknown	unknown	unknown
Contig4100_s_at	unknown	unknown	unknown
Contig4105_s_at	unknown	unknown	unknown
Contig4108_x_at	unknown	unknown	unknown
Contig4110_s_at	6	76.4189599353	492633400
Contig4112_at	unknown	unknown	unknown
Contig4113_at	2	124.769830028	598381840
Contig4118_at	2	119.759206799	591559360
Contig4119_at	unknown	unknown	unknown
Contig411_at	unknown	unknown	unknown
Contig4122_s_at	1	60.0566572238	347548440
Contig4126_at	3	52.9399571616	364490560
Contig4129_at	unknown	unknown	unknown
Contig4130_at	unknown	unknown	unknown
Contig4131_at	unknown	unknown	unknown
Contig4135_at	6	119.121813031	534504480
Contig4136_at	unknown	unknown	unknown
Contig4137_at	5	41.8055555556	44441600
Contig4140_s_at	5	136.111111111	510643160
Contig4143_at	1	48.2294617563	173797160
Contig4144_at	5	23.6111111111	13403160
Contig4150_at	unknown	unknown	unknown
Contig4152_at	unknown	unknown	unknown
Contig4153_at	1	90.2974504249	416013800
Contig4154_at	unknown	unknown	unknown
Contig4155_at	2	55.5240793201	166815960
Contig4156_s_at	3	55.7365439093	396782640
Contig4159_at	1	100.07082153	430162200
Contig415_s_at	unknown	unknown	unknown
Contig4160_at	unknown	unknown	unknown
Contig4161_at	unknown	unknown	unknown
Contig416_x_at	unknown	unknown	unknown
Contig4171_at	1	47.8045325779	122358240
Contig4172_at	unknown	unknown	unknown
Contig4174_at	unknown	unknown	unknown
Contig4175_at	unknown	unknown	unknown
Contig4178_s_at	unknown	unknown	unknown
Contig417_s_at	3	103.116147309	500131680
Contig4183_s_at	unknown	unknown	unknown
Contig4185_at	unknown	unknown	unknown
Contig4186_at	unknown	unknown	unknown
Contig4187_at	unknown	unknown	unknown
Contig4189_at	unknown	unknown	unknown
Contig418_at	7	65.4390934844	117490000
Contig4191_at	unknown	unknown	unknown
Contig4192_at	unknown	unknown	unknown
Contig4193_at	unknown	unknown	unknown
Contig4194_at	1	41.5940292003	38804560
Contig4195_at	7	61.7209631728	92275840
Contig4196_at	unknown	unknown	unknown
Contig4199_at	unknown	unknown	unknown
Contig41_at	unknown	unknown	unknown
Contig4201_s_at	5	168.541666667	554571400
Contig4205_at	unknown	unknown	unknown
Contig4206_at	4	84.5386108488	502992360
Contig4208_at	4	50.8498583569	97956280
Contig420_s_at	unknown	unknown	unknown
Contig4210_at	unknown	unknown	unknown
Contig4211_at	3	51.3456090652	223808840
Contig4213_at	unknown	unknown	unknown
Contig4214_at	3	51.2039660057	177889160
Contig4215_at	3	52.0538243626	352450160
Contig4217_at	unknown	unknown	unknown
Contig4218_at	unknown	unknown	unknown
Contig4220_at	6	113.243626062	526547400
Contig4222_s_at	6	85.8875683378	500361080
Contig4225_at	3	74.7875354108	464905760
Contig4226_at	unknown	unknown	unknown
Contig4227_at	unknown	unknown	unknown
Contig4229_at	2	39.6600566572	40431440
Contig4230_at	2	94.5644475921	561863840
Contig4232_s_at	4	57.2946175637	429465320
Contig4234_s_at	4	22.2379603399	13228320
Contig4238_at	unknown	unknown	unknown
Contig423_at	7	129.390934844	588298160
Contig4240_s_at	5	161.076388889	546122040
Contig4243_at	unknown	unknown	unknown
Contig4244_at	3	46.1756373938	69008480
Contig4245_s_at	unknown	unknown	unknown
Contig4247_at	4	57.2946175637	429465320
Contig4253_at	unknown	unknown	unknown
Contig4255_s_at	3	49.2917847025	139538440
Contig4259_at	unknown	unknown	unknown
Contig425_at	1	119.688385269	452947200
Contig4262_s_at	unknown	unknown	unknown
Contig4263_at	unknown	unknown	unknown
Contig4265_s_at	2	56.0198300284	281801160
Contig4267_at	7	71.0339943342	405773880
Contig4268_s_at	unknown	unknown	unknown
Contig4271_at	unknown	unknown	unknown
Contig4273_at	unknown	unknown	unknown
Contig4275_at	6	104.815864023	522565760
Contig4280_s_at	unknown	unknown	unknown
Contig4281_at	unknown	unknown	unknown
Contig4282_at	7	82.7667290639	515990040
Contig4283_at	4	57.2946175637	433585840
Contig4285_at	2	59.4900849858	455191600
Contig4289_at	2	54.2492917847	135427840
Contig428_at	unknown	unknown	unknown
Contig4290_at	unknown	unknown	unknown
Contig4291_at	unknown	unknown	unknown
Contig4292_at	unknown	unknown	unknown
Contig4296_at	6	53.7535410765	199601560
Contig4299_at	unknown	unknown	unknown
Contig4300_at	unknown	unknown	unknown
Contig4301_at	unknown	unknown	unknown
Contig4302_at	5	83.6111111111	450742480
Contig4304_at	unknown	unknown	unknown
Contig4307_at	unknown	unknown	unknown
Contig4307_s_at	unknown	unknown	unknown
Contig4310_at	7	70.9631728045	365647480
Contig4316_at	4	19.9008498584	12989000
Contig4320_at	unknown	unknown	unknown
Contig4321_at	unknown	unknown	unknown
Contig4322_at	5	122.430555556	495650320
Contig4324_at	unknown	unknown	unknown
Contig432_x_at	unknown	unknown	unknown
Contig4330_at	unknown	unknown	unknown
Contig4333_at	unknown	unknown	unknown
Contig4335_at	4	51.4164305949	243288000
Contig4336_at	4	50.8498583569	105457040
Contig4341_s_at	6	113.243626062	525628560
Contig4343_at	6	4.9575070822	6982440
Contig4344_at	unknown	unknown	unknown
Contig4345_at	7	133.994334278	594014560
Contig4346_at	6	55.5240793201	293415000
Contig4349_at	unknown	unknown	unknown
Contig434_s_at	unknown	unknown	unknown
Contig4350_s_at	unknown	unknown	unknown
Contig4361_s_at	1	53.2577903683	303306480
Contig4362_at	unknown	unknown	unknown
Contig4366_at	unknown	unknown	unknown
Contig4368_at	unknown	unknown	unknown
Contig4370_at	unknown	unknown	unknown
Contig4371_s_at	unknown	unknown	unknown
Contig4374_s_at	unknown	unknown	unknown
Contig4375_at	3	51.6288951841	340853680
Contig4376_at	unknown	unknown	unknown
Contig4378_s_at	unknown	unknown	unknown
Contig4380_s_at	unknown	unknown	unknown
Contig4383_s_at	unknown	unknown	unknown
Contig4387_at	unknown	unknown	unknown
Contig438_at	7	70.9631728045	353334280
Contig4391_s_at	5	152.361111111	537176680
Contig4392_at	2	55.3824362606	161424440
Contig43_at	unknown	unknown	unknown
Contig4400_s_at	unknown	unknown	unknown
Contig4401_at	unknown	unknown	unknown
Contig4405_x_at	unknown	unknown	unknown
Contig4406_x_at	unknown	unknown	unknown
Contig4407_at	4	90.1558073655	505344640
Contig4409_at	6	55.6657223796	328725240
Contig440_s_at	unknown	unknown	unknown
Contig4410_at	7	88.9134796978	533234720
Contig4411_at	unknown	unknown	unknown
Contig4414_at	1	47.6628895184	122358240
Contig4415_at	unknown	unknown	unknown
Contig4416_at	5	60.9226190476	405713120
Contig4419_at	unknown	unknown	unknown
Contig4423_at	2	147.114022663	623490600
Contig4424_at	unknown	unknown	unknown
Contig4426_at	1	48.3711048159	214559680
Contig4429_at	4	54.8158640227	406042960
Contig442_at	4	54.3201133144	383524560
Contig4432_at	unknown	unknown	unknown
Contig4433_s_at	unknown	unknown	unknown
Contig4439_at	unknown	unknown	unknown
Contig4441_at	unknown	unknown	unknown
Contig4442_at	6	68.4844192635	469599160
Contig4444_at	unknown	unknown	unknown
Contig4447_s_at	1	60.835694051	351991360
Contig4451_at	unknown	unknown	unknown
Contig4453_at	4	59.9504249292	450126200
Contig4454_at	7	56.3739376771	83610720
Contig4457_at	unknown	unknown	unknown
Contig4458_at	7	70.1487252125	211732480
Contig4461_at	2	70.821529745	499169440
Contig4462_at	unknown	unknown	unknown
Contig4464_at	unknown	unknown	unknown
Contig4467_at	7	78.3631146945	510498080
Contig4468_at	unknown	unknown	unknown
Contig4469_at	3	46.1756373938	67212960
Contig446_at	4	101.558073654	523245280
Contig4470_s_at	unknown	unknown	unknown
Contig4475_at	2	45.0147405839	56546480
Contig4476_at	unknown	unknown	unknown
Contig4479_s_at	7	133.994334278	594014560
Contig4481_s_at	unknown	unknown	unknown
Contig4483_s_at	3	114.646172089	516169840
Contig4487_s_at	7	85.9773371105	523831800
Contig4490_s_at	unknown	unknown	unknown
Contig4491_s_at	1	49.7521246459	273805640
Contig4494_x_at	unknown	unknown	unknown
Contig4495_x_at	unknown	unknown	unknown
Contig4497_at	7	20.821529745	22661000
Contig4498_at	2	56.4978753541	334961200
Contig4499_s_at	unknown	unknown	unknown
Contig44_at	4	54.3201133144	383421640
Contig4501_at	unknown	unknown	unknown
Contig4502_at	unknown	unknown	unknown
Contig4506_at	4	50.8498583569	97956280
Contig4507_at	unknown	unknown	unknown
Contig4508_at	unknown	unknown	unknown
Contig450_at	unknown	unknown	unknown
Contig4511_at	unknown	unknown	unknown
Contig4515_at	3	49.2917847025	126384520
Contig4516_at	unknown	unknown	unknown
Contig4517_at	unknown	unknown	unknown
Contig451_at	unknown	unknown	unknown
Contig4520_at	unknown	unknown	unknown
Contig4521_s_at	7	0.3895184136	2003840
Contig4529_s_at	unknown	unknown	unknown
Contig4530_at	7	71.0339943342	404990200
Contig4531_at	3	22.769121813	18035800
Contig4533_at	3	51.6288951841	228313760
Contig4534_s_at	3	51.4872521246	211583680
Contig4537_s_at	unknown	unknown	unknown
Contig4541_at	unknown	unknown	unknown
Contig4542_at	unknown	unknown	unknown
Contig4545_s_at	unknown	unknown	unknown
Contig4548_at	3	114.646172089	516169840
Contig4549_at	unknown	unknown	unknown
Contig4554_at	unknown	unknown	unknown
Contig4555_at	2	51.9652974504	87258800
Contig455_s_at	7	78.3631146945	510498080
Contig4562_at	unknown	unknown	unknown
Contig4563_at	1	48.7407046743	249886040
Contig4565_s_at	unknown	unknown	unknown
Contig4567_at	unknown	unknown	unknown
Contig4572_at	7	72.5212464589	414504720
Contig4573_at	unknown	unknown	unknown
Contig4575_s_at	unknown	unknown	unknown
Contig4579_s_at	1	132.77266289	464051400
Contig4580_at	2	99.2569249519	568310600
Contig4583_s_at	5	47.9166666667	352791160
Contig4587_at	3	51.6288951841	274974960
Contig4588_at	unknown	unknown	unknown
Contig4590_at	6	53.7535410765	175820840
Contig4591_at	5	168.541666667	554571400
Contig4595_s_at	5	62.5	412605040
Contig4599_s_at	unknown	unknown	unknown
Contig4604_s_at	1	47.9815864023	129550240
Contig4606_at	unknown	unknown	unknown
Contig4607_at	unknown	unknown	unknown
Contig4608_at	unknown	unknown	unknown
Contig460_s_at	7	54.3909348442	75684640
Contig4610_s_at	unknown	unknown	unknown
Contig4612_at	unknown	unknown	unknown
Contig4614_s_at	unknown	unknown	unknown
Contig4617_s_at	3	128.611898017	533443040
Contig4618_at	3	37.1829501285	28753120
Contig4622_s_at	unknown	unknown	unknown
Contig4626_s_at	unknown	unknown	unknown
Contig4630_at	3	98.2294617564	499289720
Contig4633_at	unknown	unknown	unknown
Contig4633_x_at	unknown	unknown	unknown
Contig4635_at	unknown	unknown	unknown
Contig4639_at	2	135.623229462	608851160
Contig4639_s_at	unknown	unknown	unknown
Contig4641_s_at	2	135.623229462	608851160
Contig4644_at	unknown	unknown	unknown
Contig4647_at	unknown	unknown	unknown
Contig4648_at	unknown	unknown	unknown
Contig4650_s_at	5	23.6111111111	12724880
Contig4653_at	2	123.937677054	598381840
Contig4655_at	unknown	unknown	unknown
Contig4656_at	2	106.444759207	571768960
Contig4658_at	unknown	unknown	unknown
Contig4663_s_at	unknown	unknown	unknown
Contig4668_at	unknown	unknown	unknown
Contig466_at	1	53.4702549575	305439280
Contig4671_at	unknown	unknown	unknown
Contig4672_at	unknown	unknown	unknown
Contig4673_at	unknown	unknown	unknown
Contig4674_at	7	121.883852691	575470360
Contig4676_at	3	49.6458923513	139991040
Contig4677_at	6	63.4560906516	429255760
Contig4678_at	unknown	unknown	unknown
Contig4679_s_at	unknown	unknown	unknown
Contig4681_at	unknown	unknown	unknown
Contig4682_at	5	44.2361111111	132753160
Contig4684_at	unknown	unknown	unknown
Contig4685_at	unknown	unknown	unknown
Contig4687_at	unknown	unknown	unknown
Contig4689_at	unknown	unknown	unknown
Contig4690_at	3	1.9121813031	2949960
Contig4694_s_at	unknown	unknown	unknown
Contig4696_at	unknown	unknown	unknown
Contig4697_s_at	3	63.6862606232	437529040
Contig4701_at	unknown	unknown	unknown
Contig4704_at	2	62.4645892351	473605600
Contig4705_s_at	6	55.966713881	336327680
Contig4707_x_at	unknown	unknown	unknown
Contig4711_s_at	7	103.541076487	552790760
Contig4715_at	2	57.4362606232	404303240
Contig4720_at	5	169.375	560085680
Contig4722_at	unknown	unknown	unknown
Contig4724_at	unknown	unknown	unknown
Contig4725_s_at	unknown	unknown	unknown
Contig4727_at	unknown	unknown	unknown
Contig4729_at	unknown	unknown	unknown
Contig4730_at	7	20.9631728045	24269280
Contig4731_at	6	28.5056657224	17841120
Contig4732_s_at	6	94.9008498584	513092160
Contig4743_at	unknown	unknown	unknown
Contig4745_s_at	1	54.2315864023	309919400
Contig4747_at	7	70.6798866856	250235720
Contig4758_at	5	80.3472222222	441096520
Contig4760_s_at	unknown	unknown	unknown
Contig4766_at	2	113.88101983	585079120
Contig4768_s_at	3	42.6429733706	39853600
Contig4774_s_at	1	76.8413597734	398837320
Contig4777_at	1	48.3711048159	221132920
Contig4779_s_at	unknown	unknown	unknown
Contig4780_at	unknown	unknown	unknown
Contig4782_s_at	unknown	unknown	unknown
Contig4785_at	2	63.5269121813	476487360
Contig4786_at	2	56.9173567226	375746040
Contig4788_at	2	58.6402266289	435717400
Contig4789_at	6	48.6189801699	46951360
Contig4793_s_at	unknown	unknown	unknown
Contig4795_at	4	103.966005666	528367720
Contig4797_at	unknown	unknown	unknown
Contig479_at	3	139.589235127	544891960
Contig4801_s_at	2	142.351274787	617931680
Contig4803_at	7	64.164305949	111886440
Contig4804_at	unknown	unknown	unknown
Contig4805_at	unknown	unknown	unknown
Contig4806_at	unknown	unknown	unknown
Contig4807_at	unknown	unknown	unknown
Contig480_at	4	50.9915014164	137631320
Contig4811_s_at	unknown	unknown	unknown
Contig4813_at	unknown	unknown	unknown
Contig4816_x_at	unknown	unknown	unknown
Contig4817_at	unknown	unknown	unknown
Contig4818_at	2	45.8760155943	58654480
Contig4823_at	unknown	unknown	unknown
Contig4825_at	unknown	unknown	unknown
Contig4826_at	3	51.6288951841	230059680
Contig4827_s_at	unknown	unknown	unknown
Contig4829_at	2	118.696883853	590542560
Contig4830_at	unknown	unknown	unknown
Contig4833_at	unknown	unknown	unknown
Contig4834_s_at	4	18.4844192635	11720480
Contig4838_at	4	113.810638186	543045600
Contig4839_s_at	unknown	unknown	unknown
Contig4845_at	3	51.3456090652	215675680
Contig4847_s_at	unknown	unknown	unknown
Contig4848_at	5	43.9236111111	91609960
Contig4849_s_at	unknown	unknown	unknown
Contig4852_at	2	55.5417847025	195039600
Contig4857_at	7	94.2103399433	538962280
Contig4859_at	5	44.2361111111	147845200
Contig4861_at	2	77.2662889518	522529800
Contig4863_at	2	56.2322946176	288596360
Contig4867_s_at	3	20.7507082153	18035800
Contig4868_at	5	41.8055555556	47319640
Contig4869_s_at	unknown	unknown	unknown
Contig4873_s_at	unknown	unknown	unknown
Contig4875_at	unknown	unknown	unknown
Contig4876_at	3	64.0789501501	438106880
Contig4877_at	unknown	unknown	unknown
Contig4878_at	2	49.7403210576	69272600
Contig4879_at	unknown	unknown	unknown
Contig4880_at	unknown	unknown	unknown
Contig4883_at	7	69.7355996223	206233080
Contig4886_at	unknown	unknown	unknown
Contig4890_at	unknown	unknown	unknown
Contig4891_at	5	44.2361111111	264640800
Contig4893_at	unknown	unknown	unknown
Contig4895_s_at	6	55.0283286119	259966000
Contig4896_at	unknown	unknown	unknown
Contig4899_s_at	7	102.053824363	549595280
Contig48_at	unknown	unknown	unknown
Contig4900_at	unknown	unknown	unknown
Contig4901_at	4	50.9915014164	124404240
Contig4904_at	unknown	unknown	unknown
Contig4908_at	unknown	unknown	unknown
Contig4909_at	7	70.6798866856	254637720
Contig4910_at	unknown	unknown	unknown
Contig4911_at	4	78.4186392663	491507480
Contig4914_s_at	4	52.1954674221	339524400
Contig4915_at	4	52.1954674221	339524400
Contig4916_at	unknown	unknown	unknown
Contig4917_at	unknown	unknown	unknown
Contig491_s_at	3	57.99398017	407771520
Contig4921_at	2	8.5694050992	9783600
Contig4922_s_at	unknown	unknown	unknown
Contig4927_s_at	unknown	unknown	unknown
Contig4928_at	unknown	unknown	unknown
Contig4930_at	4	56.5864022663	419954520
Contig4932_at	unknown	unknown	unknown
Contig4933_at	4	61.0481586403	465386880
Contig4935_at	unknown	unknown	unknown
Contig4938_s_at	unknown	unknown	unknown
Contig4941_s_at	2	120.821529745	594341920
Contig4942_at	unknown	unknown	unknown
Contig4944_s_at	unknown	unknown	unknown
Contig4948_s_at	unknown	unknown	unknown
Contig4949_at	6	126.487252125	538665920
Contig4951_at	7	88.9134796978	533234720
Contig4952_x_at	6	55.0283286119	262722520
Contig4955_s_at	unknown	unknown	unknown
Contig4956_at	unknown	unknown	unknown
